create,week,delete
Bills-vs-Rams,1,Bills-vs-Rams
Saints-vs-Falcons,1,Saints-vs-Falcons
Browns-vs-Panthers,1,Browns-vs-Panthers
49ers-vs-Bears,1,49ers-vs-Bears
Steelers-vs-Bengals,1,Steelers-vs-Bengals
Eagles-vs-Lions,1,Eagles-vs-Lions
Colts-vs-Texans,1,Colts-vs-Texans
Patriots-vs-Dolphins,1,Patriots-vs-Dolphins
Ravens-vs-Jets,1,Ravens-vs-Jets
Jaguars-vs-Commanders,1,Jaguars-vs-Commanders
Giants-vs-Titans,1,Giants-vs-Titans
Chiefs-vs-Cardinals,1,Chiefs-vs-Cardinals
Raiders-vs-Chargers,1,Raiders-vs-Chargers
Packers-vs-Vikings,1,Packers-vs-Vikings
Buccaneers-vs-Cowboys,1,Buccaneers-vs-Cowboys
Broncos-vs-Seahawks,1,Broncos-vs-Seahawks
Chargers-vs-Chiefs,2,Chargers-vs-Chiefs
Dolphins-vs-Ravens,2,Dolphins-vs-Ravens
Jets-vs-Browns,2,Jets-vs-Browns
Commanders-vs-Lions,2,Commanders-vs-Lions
Colts-vs-Jaguars,2,Colts-vs-Jaguars
Buccaneers-vs-Saints,2,Buccaneers-vs-Saints
Panthers-vs-Giants,2,Panthers-vs-Giants
Patriots-vs-Steelers,2,Patriots-vs-Steelers
Falcons-vs-Rams,2,Falcons-vs-Rams
Seahawks-vs-49ers,2,Seahawks-vs-49ers
Bengals-vs-Cowboys,2,Bengals-vs-Cowboys
Texans-vs-Broncos,2,Texans-vs-Broncos
Cardinals-vs-Raiders,2,Cardinals-vs-Raiders
Bears-vs-Packers,2,Bears-vs-Packers
Titans-vs-Bills,2,Titans-vs-Bills
Vikings-vs-Eagles,2,Vikings-vs-Eagles
Steelers-vs-Browns,3,Steelers-vs-Browns
Saints-vs-Panthers,3,Saints-vs-Panthers
Texans-vs-Bears,3,Texans-vs-Bears
Chiefs-vs-Colts,3,Chiefs-vs-Colts
Bills-vs-Dolphins,3,Bills-vs-Dolphins
Lions-vs-Vikings,3,Lions-vs-Vikings
Ravens-vs-Patriots,3,Ravens-vs-Patriots
Bengals-vs-Jets,3,Bengals-vs-Jets
Raiders-vs-Titans,3,Raiders-vs-Titans
Eagles-vs-Commanders,3,Eagles-vs-Commanders
Jaguars-vs-Chargers,3,Jaguars-vs-Chargers
Rams-vs-Cardinals,3,Rams-vs-Cardinals
Falcons-vs-Seahawks,3,Falcons-vs-Seahawks
Packers-vs-Buccaneers,3,Packers-vs-Buccaneers
49ers-vs-Broncos,3,49ers-vs-Broncos
Cowboys-vs-Giants,3,Cowboys-vs-Giants
Dolphins-vs-Bengals,4,Dolphins-vs-Bengals
Vikings-vs-Saints,4,Vikings-vs-Saints
Browns Falcons,4,Browns Falcons
Bills-vs-Ravens,4,Bills-vs-Ravens
Commanders-vs-Cowboys,4,Commanders-vs-Cowboys
Seahawks-vs-Lions,4,Seahawks-vs-Lions
Chargers-vs-Texans,4,Chargers-vs-Texans
Titans-vs-Colts,4,Titans-vs-Colts
Bears-vs-Giants,4,Bears-vs-Giants
Jaguars-vs-Eagles,4,Jaguars-vs-Eagles
Jets-vs-Steelers,4,Jets-vs-Steelers
Cardinals-vs-Panthers,4,Cardinals-vs-Panthers
Patriots-vs-Packers,4,Patriots-vs-Packers
Broncos-vs-Raiders,4,Broncos-vs-Raiders
Chiefs-vs-Buccaneers,4,Chiefs-vs-Buccaneers
Rams-vs-49ers,4,Rams-vs-49ers
Colts-vs-Broncos,5,Colts-vs-Broncos
Giants-vs-Packers,5,Giants-vs-Packers
Steelers-vs-Bills,5,Steelers-vs-Bills
Chargers-vs-Browns,5,Chargers-vs-Browns
Texans-vs-Jaguars,5,Texans-vs-Jaguars
Bears-vs-Vikings,5,Bears-vs-Vikings
Lions-vs-Patriots,5,Lions-vs-Patriots
Seahawks-vs-Saints,5,Seahawks-vs-Saints
Dolphins-vs-Jets,5,Dolphins-vs-Jets
Falcons-vs-Buccaneers,5,Falcons-vs-Buccaneers
Titans-vs-Commanders,5,Titans-vs-Commanders
49ers-vs-Panthers,5,49ers-vs-Panthers
Eagles-vs-Cardinals,5,Eagles-vs-Cardinals
Cowboys-vs-Rams,5,Cowboys-vs-Rams
Bengals-vs-Ravens,5,Bengals-vs-Ravens
Raiders-vs-Chiefs,5,Raiders-vs-Chiefs
Commanders-vs-Bears,6,Commanders-vs-Bears
49ers-vs-Falcons,6,49ers-vs-Falcons
Patriots-vs-Browns,6,Patriots-vs-Browns
Jets-vs-Packers,6,Jets-vs-Packers
Jaguars-vs-Colts,6,Jaguars-vs-Colts
Vikings-vs-Dolphins,6,Vikings-vs-Dolphins
Bengals-vs-Saints,6,Bengals-vs-Saints
Ravens-vs-Giants,6,Ravens-vs-Giants
Buccaneers-vs-Steelers,6,Buccaneers-vs-Steelers
Panthers-vs-Rams,6,Panthers-vs-Rams
Cardinals-vs-Seahawks,6,Cardinals-vs-Seahawks
Bills-vs-Chiefs,6,Bills-vs-Chiefs
Cowboys-vs-Eagles,6,Cowboys-vs-Eagles
Broncos-vs-Chargers,6,Broncos-vs-Chargers
Saints-vs-Cardinals,7,Saints-vs-Cardinals
Browns-vs-Ravens,7,Browns-vs-Ravens
Buccaneers-vs-Panthers,7,Buccaneers-vs-Panthers
Falcons-vs-Bengals,7,Falcons-vs-Bengals
Lions-vs-Cowboys,7,Lions-vs-Cowboys
Giants-vs-Jaguars,7,Giants-vs-Jaguars
Colts-vs-Titans,7,Colts-vs-Titans
Packers-vs-Commanders,7,Packers-vs-Commanders
Jets-vs-Broncos,7,Jets-vs-Broncos
Texans-vs-Raiders,7,Texans-vs-Raiders
Seahawks-vs-Chargers,7,Seahawks-vs-Chargers
Chiefs-vs-49ers,7,Chiefs-vs-49ers
Steelers-vs-Dolphins,7,Steelers-vs-Dolphins
Bears-vs-Patriots,7,Bears-vs-Patriots
Ravens-vs-Buccaneers,8,Ravens-vs-Buccaneers
Broncos-vs-Jaguars,8,Broncos-vs-Jaguars
Panthers-vs-Falcons,8,Panthers-vs-Falcons
Bears-vs-Cowboys,8,Bears-vs-Cowboys
Dolphins-vs-Lions,8,Dolphins-vs-Lions
Cardinals-vs-Vikings,8,Cardinals-vs-Vikings
Raiders-vs-Saints,8,Raiders-vs-Saints
Patriots-vs-Jets,8,Patriots-vs-Jets
Steelers-vs-Eagles,8,Steelers-vs-Eagles
Titans-vs-Texans,8,Titans-vs-Texans
Commanders-vs-Colts,8,Commanders-vs-Colts
49ers-vs-Rams,8,49ers-vs-Rams
Giants-vs-Seahawks,8,Giants-vs-Seahawks
Packers-vs-Bills,8,Packers-vs-Bills
Bengals-vs-Browns,8,Bengals-vs-Browns
Eagles-vs-Texans,9,Eagles-vs-Texans
Chargers-vs-Falcons,9,Chargers-vs-Falcons
Dolphins-vs-Bears,9,Dolphins-vs-Bears
Panthers-vs-Bengals,9,Panthers-vs-Bengals
Packers-vs-Lions,9,Packers-vs-Lions
Raiders-vs-Jaguars,9,Raiders-vs-Jaguars
Colts-vs-Patriots,9,Colts-vs-Patriots
Bills-vs-Jets,9,Bills-vs-Jets
Vikings-vs-Commanders,9,Vikings-vs-Commanders
